Please enter the topology filename with extension: topology3.txt
--------------------------------------------------------
This is the initial topology of the network:
--------------------------------------------------------
Router 0:

6,999999,-
7,999999,-
8,999999,-
9,999999,-
10,999999,-
11,999999,-
12,999999,-
14,999999,-
15,999999,-
16,755,16
17,999999,-
18,999999,-
19,999999,-
20,1001,20
21,999999,-
22,999999,-
23,999999,-
24,999999,-
25,999999,-
26,999999,-
27,999999,-
28,999999,-
29,999999,-

Router 14:

0,999999,-
1,840,1
2,73,2
3,999999,-
4,999999,-
5,999999,-
6,240,6
7,999999,-
8,999999,-
9,999999,-
10,999999,-
11,999999,-
12,999999,-
13,999999,-
15,999999,-
16,999999,-
17,999999,-
18,999999,-
19,999999,-
20,999999,-
21,999999,-
22,999999,-
23,999999,-
24,999999,-
25,999999,-
26,999999,-
27,999999,-
28,999999,-
29,999999,-

Router 15:

0,999999,-
1,999999,-
2,999999,-
3,999999,-
4,694,4
5,999999,-
6,849,6
7,999999,-
8,999999,-
9,999999,-
10,999999,-
11,999999,-
12,999999,-
13,999999,-
14,999999,-
16,921,16
17,999999,-
18,999999,-
19,999999,-
20,999999,-
21,823,21
22,536,22
23,67,23
24,999999,-
25,999999,-
26,999999,-
27,999999,-
28,246,28
29,999999,-

Router 16:

0,999999,-
1,756,1
2,999999,-
3,999999,-
4,999999,-
5,999999,-
6,23,6
7,180,7
8,999999,-
9,16,9
10,999999,-
11,999999,-
12,999999,-
13,755,13
14,999999,-
15,921,15
17,999999,-
18,999999,-
19,227,19
20,999999,-
21,999999,-
22,999999,-
23,986,23
24,999999,-
25,999999,-
26,64,26
27,999999,-
28,999999,-
29,999999,-

Router 17:

0,999999,-
1,999999,-
2,999999,-
3,999999,-
4,999999,-
5,999999,-
6,999999,-
7,999999,-
8,109,8
9,312,9
10,999999,-
11,999999,-
12,999999,-
13,999999,-
14,999999,-
15,999999,-
16,999999,-
18,999999,-
19,999999,-
20,999999,-
21,999999,-
22,477,22
23,999999,-
